Overlap,C1,C2,C3,lambda,Lambda,sd_lower,sd_upper,bias_lower,bias_upper,non_coverage,true_lower,true_upper,point_lower,point_upper,conf_lower,conf_upper,
1,1,-1,0,0,1,0.0401,0.0401,2.79,2.79,0.103,-0.05,-0.05,-0.048,-0.048,-0.116,0.017,
1,1,-1,0,0.1,1.11,0.0396,0.0404,3.43,3.01,0.104,-0.108,0.008,-0.107,0.01,-0.171,0.076,
1,1,-1,0,0.2,1.22,0.039,0.0405,3.4,0.65,0.101,-0.165,0.067,-0.164,0.067,-0.228,0.133,
1,1,-1,0,0.5,1.65,0.0365,0.0401,2.97,0.59,0.115,-0.328,0.237,-0.328,0.238,-0.387,0.302,
1,1,-1,0,1,2.72,0.0302,0.0356,6.74,-3.17,0.124,-0.559,0.488,-0.558,0.489,-0.606,0.543,
1,1,-1,0,2,7.39,0.0155,0.0198,6.67,-5.32,0.11,-0.832,0.801,-0.832,0.802,-0.856,0.83,
1,1,0,-1,0,1,0.0416,0.0416,1.49,1.49,0.105,-0.034,-0.034,-0.035,-0.035,-0.101,0.033,
1,1,0,-1,0.1,1.11,0.0414,0.0416,2.15,1.12,0.11,-0.093,0.025,-0.093,0.024,-0.161,0.092,
1,1,0,-1,0.2,1.22,0.041,0.0415,4.1,2.5,0.111,-0.152,0.083,-0.152,0.084,-0.217,0.15,
1,1,0,-1,0.5,1.65,0.039,0.0405,5.27,0.69,0.111,-0.32,0.254,-0.319,0.255,-0.38,0.318,
1,1,0,-1,1,2.72,0.0327,0.0356,7.27,-2.13,0.126,-0.558,0.502,-0.556,0.502,-0.607,0.556,
1,1,0,-1,2,7.39,0.0164,0.0196,9.38,-5.69,0.11,-0.837,0.808,-0.836,0.808,-0.861,0.837,
1,0,1,-1,0,1,0.041,0.041,1.22,1.22,0.092,0.015,0.015,0.016,0.016,-0.052,0.085,
1,0,1,-1,0.1,1.11,0.0411,0.0406,0.26,-0.8,0.101,-0.045,0.076,-0.044,0.077,-0.112,0.144,
1,0,1,-1,0.2,1.22,0.0411,0.0401,2.31,0.46,0.101,-0.106,0.135,-0.105,0.136,-0.173,0.202,
1,0,1,-1,0.5,1.65,0.0398,0.0375,3.4,-0.91,0.093,-0.281,0.306,-0.28,0.306,-0.345,0.367,
1,0,1,-1,1,2.72,0.0336,0.0308,4.48,-2.57,0.102,-0.531,0.546,-0.531,0.547,-0.583,0.596,
1,0,1,-1,2,7.39,0.0169,0.0157,9.62,-7.57,0.102,-0.827,0.829,-0.827,0.829,-0.851,0.853,
