Overlap,C1,C2,C3,lambda,Lambda,sd_lower,sd_upper,bias_lower,bias_upper,non_coverage,true_lower,true_upper,point_lower,point_upper,conf_lower,conf_upper,
0,1,-1,0,0,1,0.1576,0.1576,-15.3,-15.3,0.189,-0.044,-0.044,-0.084,-0.084,-0.261,0.101,
0,1,-1,0,0.1,1.11,0.1524,0.1621,-11.34,-19.21,0.205,-0.106,0.019,-0.14,-0.026,-0.307,0.159,
0,1,-1,0,0.2,1.22,0.1466,0.1656,-7.02,-23.34,0.225,-0.167,0.083,-0.194,0.033,-0.35,0.219,
0,1,-1,0,0.5,1.65,0.1269,0.1698,3.27,-35.38,0.274,-0.334,0.273,-0.341,0.207,-0.474,0.389,
0,1,-1,0,1,2.72,0.0943,0.1537,16.9,-51.3,0.376,-0.559,0.548,-0.551,0.475,-0.647,0.62,
0,1,-1,0,2,7.39,0.0483,0.0792,30.93,-65.77,0.5,-0.824,0.852,-0.812,0.813,-0.86,0.869,
0,1,0,-1,0,1,0.1565,0.1565,-15.57,-15.57,0.203,-0.03,-0.03,-0.072,-0.072,-0.243,0.101,
0,1,0,-1,0.1,1.11,0.1507,0.1615,-12.37,-19.35,0.217,-0.089,0.031,-0.126,-0.017,-0.285,0.162,
0,1,0,-1,0.2,1.22,0.1443,0.1656,-8.88,-22.72,0.23,-0.147,0.092,-0.179,0.037,-0.327,0.218,
0,1,0,-1,0.5,1.65,0.1232,0.1711,-0.37,-33.93,0.274,-0.307,0.276,-0.324,0.211,-0.448,0.386,
0,1,0,-1,1,2.72,0.09,0.1559,9.74,-48.42,0.355,-0.525,0.544,-0.525,0.475,-0.617,0.617,
0,1,0,-1,2,7.39,0.0467,0.0807,21.21,-61.01,0.472,-0.798,0.846,-0.79,0.809,-0.84,0.865,
0,0,1,-1,0,1,0.0939,0.0939,-0.26,-0.26,0.129,0.014,0.014,0.014,0.014,-0.11,0.135,
0,0,1,-1,0.1,1.11,0.0937,0.0939,2.08,-2.59,0.141,-0.037,0.065,-0.035,0.063,-0.157,0.183,
0,0,1,-1,0.2,1.22,0.0931,0.0935,3.6,-5.17,0.154,-0.087,0.116,-0.084,0.111,-0.203,0.229,
0,0,1,-1,0.5,1.65,0.0899,0.0906,8.88,-11.67,0.175,-0.234,0.264,-0.227,0.254,-0.334,0.363,
0,0,1,-1,1,2.72,0.0795,0.0799,17.29,-21.99,0.253,-0.455,0.485,-0.441,0.468,-0.532,0.557,
0,0,1,-1,2,7.39,0.0482,0.0475,27.26,-34.41,0.335,-0.76,0.781,-0.748,0.767,-0.799,0.814,
